1,173,160,First Node,1,1
2,740,160,North-East Room West door,1,1
3,740,235,Second Edge East,1,1
4,549,235,Second Edge West,1,1
5,549,410,Third Edge East,1,1
6,421,410,Third Edge West,1,1
7,421,321,-,1,1
8,295,321,Fourth Edge North,1,1
9,295,567,Fourth Edge South / Sixth Edge North,1,1
10,169,567,West Room,1,1
11,295,840,Sixth Edge South,1,1
12,544,840,-,1,1
13,544,756,-,1,1
14,642,756,Fifth Edge South,1,1
15,642,527,Fifth Edge North,1,1
16,519,527,-,1,1
17,421,527,Middle Room door,1,1
18,421,624,Middle Room,1,1
19,900,527,-,1,1
20,900,666,In the room North of the South-East room,1,1
21,830,666,South-East Room North door,1,1
22,830,840,South-East Room,1,1
23,690,840,South-East Room West door,1,1
24,890,400,-,1,1
25,890,293,North-East Room South door,1,1
26,890,160,North-East Room,1,1